blank-NC-01,blank-NC-02,blank-NC-03,blank-NC-04,blank-NC-05,negative-CSF-01,negative-CSF-02,negative-CSF-03,negative-CSF-04,negative-CSF-05,negative-CSF-06,negative-CSF-07,negative-CSF-08,negative-CSF-09,negative-CSF-10,negative-CSF-11,negative-CSF-12,negative-CSF-13,negative-CSF-14,negative-CSF-15,negative-CSF-16,negative-CSF-17,negative-CSF-18,negative-CSF-19,mos-CSF-01,pae-CSF-01,pae-CSF-02,pae-CSF-03,pae-CSF-04,pae-CSF-05,pae-CSF-06,eco-CSF-01,eco-CSF-02,eco-CSF-03,eco-CSF-04,eco-CSF-05,eco-CSF-06,eco-CSF-07,eco-CSF-08,negative-CSF-20,negative-CSF-21,negative-CSF-22,negative-CSF-23,negative-CSF-24,negative-CSF-25,negative-CSF-26,negative-CSF-27,taxid
8.06631e-06,2.03185e-06,3.158382e-05,7.1124e-06,2.251868e-05,0.0,0.0,0.0,0.0,0.0,1.612435359481983e-07,2.9880478087649e-05,4.267008027308e-06,2.603475118588e-06,0.0,6.822849267339001e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.379930706492e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4547024566142262e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4952
0.00014519361,0.00011581529,0.00024364658,0.00012802321,0.00010937646,4.975631843048668e-07,0.0,3.309339461068e-06,0.0,0.0,3.063627183015e-06,2.9880478087649e-05,2.133504013654e-06,1.5620850711529e-05,0.0,9.097132356452e-06,0.0,0.0,0.0,0.0,1.2668182794783548e-07,1.3974320509145985e-07,6.455916847791e-06,5.186251247941e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3768386820074032e-07,1.3074788969637336e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35979827120687e-07,0.0,2.65234400901797e-07,1.3968655733399825e-07,0.0,76775
2.742546e-05,4.673248e-05,6.993559e-05,3.37839e-05,0.0001206358,0.0,1.2718490956135454e-07,1.741757611088865e-07,0.0,0.0,3.2248707189639653e-07,8.4661354581673e-05,1.493452809558e-05,3.1241701423059e-05,0.0,3.6388529425811e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2911833695582e-05,1.4262190931839e-05,0.0,1.445914553968616e-07,2.755582327568747e-07,1.272033852382507e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.888188643640458e-07,1.35979827120687e-07,2.0548387136545265e-07,2.65234400901797e-07,0.0,0.0,294
4.355808e-05,5.689172e-05,5.865566e-05,7.112401e-05,3.056107e-05,0.0,0.0,1.219230327762e-06,0.0,0.0,3.2248707189639653e-07,0.0004830677290836,5.3337600341360006e-05,0.000177036308064,0.0,2.2742830891132e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.4115431793238e-05,3.889688435956e-06,0.0,0.0,0.0,0.0,0.0,2.4183089201017334e-07,1.1422769966887677e-07,2.554326371133661e-07,1.4547024566142262e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.4366538378267797e-07,2.0656927476213032e-07,1.888188643640458e-07,1.35979827120687e-07,0.0,1.326172004508985e-07,0.0,0.0,47880
9.518248e-05,0.00014019745,0.00012633526,6.401161e-05,6.112214e-05,1.990252737219468e-07,1.2718490956135454e-07,6.96703044435546e-07,0.0,0.0,3.2248707189639653e-07,0.0,1.066752006827e-06,2.6034751185882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075986141298e-06,5.186251247941e-06,0.0,1.445914553968616e-07,1.3777911637843738e-07,2.5440677047650134e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3074788969637336e-07,0.0,1.593555914849296e-07,1.2538977411282973e-07,0.0,1.4366538378267797e-07,0.0,0.0,0.0,0.0,0.0,1.3968655733399825e-07,0.0,74829
3.710503e-05,0.000146293,1.353592e-05,2.66715e-05,2.251868e-05,0.0,0.0,5.225272833266595e-07,0.0,0.0,6.449741437927931e-07,4.980079681274e-06,0.0,7.810425355764e-06,0.0,1.3645698534679e-05,3.075752871253752e-07,1.378069891846319e-07,1.299153471597907e-07,0.0,0.0,1.3974320509145985e-07,3.2279584238950003e-06,1.296562811985e-06,0.0,1.445914553968616e-07,0.0,2.5440677047650134e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.3074788969637336e-07,0.0,0.0,0.0,1.2616817536467965e-07,1.4366538378267797e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316
6.45305e-06,8.12739e-06,1.127993e-05,3.5562e-06,9.65086e-06,0.0,0.0,0.0,3.200862440375934e-07,0.0,0.0,0.0,1.066752006827e-06,5.206950237176e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398781983688e-05,0.0,0.0,1.445914553968616e-07,1.3777911637843738e-07,0.0,0.0,1.209154460050867e-07,0.0,0.0004910692448504,0.0004221546529094,0.0004367332299327,0.0004136863229993,0.0003890390698581,0.0004527292354086,0.0004244443853719,0.0003955372297682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562
0.0003194259399999,0.00228582807,0.00072191578,0.0003165018399999,0.00057100945,9.951263686097336e-08,2.543698191227091e-07,4.180218266613e-06,0.0,0.0,1.4189431163441e-05,4.980079681274e-06,0.0,2.6034751185882e-05,1.1547848162425565e-07,2.0468547802019e-05,7.68938217813438e-07,1.240262902661e-06,1.299153471597907e-07,0.0,0.0,0.0,8.607889130387999e-06,0.0,0.0,2.891829107937232e-07,1.240012047405e-06,1.272033852382507e-07,1.4027810976930426e-07,0.0,1.1422769966887677e-07,0.0,2.909404913228453e-07,0.0,1.3074788969637336e-07,3.63928035414565e-07,0.0,2.5077954822565945e-07,0.0,1.4366538378267797e-07,2.0656927476213032e-07,1.132913186184e-06,4.07939481362061e-07,2.0548387136545265e-07,1.060937603607e-06,0.0,0.0,339
0.0,0.0,2.25599e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.296562811985e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34004
0.0003371718199999,0.02316102592,0.00031358217,0.00025960263,8.364082e-05,0.0,1.2718490956135454e-07,0.0001335928087705,0.0,0.0,0.0,0.0003685258964143,1.6001280102408002e-05,0.000208278009487,1.1547848162425565e-07,0.0001478284007923,9.996196831574e-06,0.0,0.0,2.513667438278781e-07,0.0,0.0,0.0001764617271729,2.59312562397e-06,0.0,1.445914553968616e-07,2.893361443947e-06,6.614576032389e-06,0.0,0.0,2.284553993377535e-07,5.108652742267321e-07,0.0,1.3768386820074032e-07,4.183932470283e-06,0.0,1.593555914849296e-07,1.2538977411282973e-07,3.280372559481e-06,7.183269189133897e-07,2.0656927476213032e-07,1.869306757204e-05,0.0,8.2810000160277e-05,3.6602347324447e-05,1.3968655733399825e-07,0.0,59803
